iteration;pheromone_exponent;length_exponent;evaporation_coefficient;pheromone_leaving_coefficient;total_distance;path;
1;1.3;1.0;0.0;1.0;6010.620895309821;[0, 10, 3, 17, 6, 19, 8, 24, 1, 20, 16, 7, 9, 2, 21, 14, 22, 11, 13, 4, 5, 18, 15, 23, 12, 0];
2;1.3;1.0;0.0;1.1111111111111112;6254.140816444079;[0, 15, 18, 7, 14, 22, 21, 2, 11, 5, 13, 4, 8, 19, 23, 17, 6, 20, 1, 10, 3, 24, 9, 16, 12, 0];
3;1.3;1.0;0.0;1.2222222222222223;6136.707248527421;[0, 3, 17, 15, 18, 8, 19, 5, 1, 10, 7, 12, 6, 23, 24, 13, 4, 11, 14, 9, 2, 16, 21, 22, 20, 0];
4;1.3;1.0;0.0;1.3333333333333333;6371.547026149015;[0, 7, 9, 2, 22, 14, 12, 16, 10, 13, 5, 3, 17, 6, 23, 15, 18, 8, 19, 4, 11, 21, 1, 20, 24, 0];
5;1.3;1.0;0.0;1.4444444444444444;6332.634177248514;[0, 24, 3, 7, 20, 6, 23, 17, 5, 13, 4, 11, 19, 18, 8, 14, 22, 1, 12, 10, 16, 21, 9, 2, 15, 0];
6;1.3;1.0;0.0;1.5555555555555556;6207.0250031538635;[0, 10, 12, 1, 14, 2, 16, 9, 24, 15, 23, 6, 17, 18, 19, 8, 13, 4, 5, 11, 22, 21, 20, 3, 7, 0];
7;1.3;1.0;0.0;1.6666666666666665;6389.442477019856;[0, 11, 2, 14, 10, 1, 12, 6, 17, 23, 7, 21, 22, 9, 16, 5, 4, 13, 19, 8, 18, 15, 20, 24, 3, 0];
8;1.3;1.0;0.0;1.7777777777777777;5904.176005681714;[0, 3, 10, 1, 12, 23, 17, 21, 2, 14, 4, 5, 13, 8, 19, 18, 22, 11, 9, 16, 7, 20, 6, 15, 24, 0];
9;1.3;1.0;0.0;1.8888888888888888;6050.670889557891;[0, 13, 5, 19, 8, 18, 15, 24, 20, 6, 22, 2, 9, 16, 10, 14, 11, 4, 21, 7, 12, 1, 3, 17, 23, 0];
10;1.3;1.0;0.0;2.0;6281.340204370155;[0, 23, 6, 3, 24, 18, 19, 8, 5, 4, 16, 2, 7, 9, 21, 22, 14, 1, 20, 15, 17, 12, 10, 11, 13, 0];
11;1.3;1.0;0.125;1.0;6116.141252935345;[0, 10, 13, 5, 4, 8, 19, 18, 14, 21, 16, 2, 9, 22, 11, 1, 3, 24, 6, 17, 23, 15, 7, 12, 20, 0];
12;1.3;1.0;0.125;1.1111111111111112;5826.112534903695;[0, 24, 6, 17, 23, 20, 3, 10, 12, 1, 5, 4, 13, 18, 19, 8, 7, 14, 16, 9, 2, 21, 22, 11, 15, 0];
13;1.3;1.0;0.125;1.2222222222222223;6208.863076224152;[0, 24, 6, 10, 12, 1, 23, 15, 8, 19, 18, 5, 13, 14, 22, 7, 2, 9, 16, 11, 21, 4, 17, 20, 3, 0];
